Series Name,Series Code,Country Name,Country Code,2015 [2015],2016 [2016],2017 [2017]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Afghanistan,AFG,2.5,5,5.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Albania,ALB,3,3.5,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Algeria,DZA,2.6,3.9,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,All OECD Countries,OCD,2.31641070885,2.45288272168,2.1927079817
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Angola,AGO,4.5,3.9,5.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Argentina,ARG,1.08046486292,1.78592725629,3.01251407386
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Armenia,ARM,0.8,2.7,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Azerbaijan,AZE,1.5,2.6,2.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bangladesh,BGD,6.3,6.7,6.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belarus,BLR,-3.46559720282,-1.00887650317,0.96430478275
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belize,BLZ,2.5105180092,2.55043036473,2.70140885003
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Benin,BEN,4.59779841903,4.64611447604,4.66602870038
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bhutan,BTN,6.8,7.6,7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bolivia,BOL,4.77629887247,4.24236673487,4.06435521126
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,2,2.3,2.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Botswana,BWA,4.33036398353,4.19272055262,4.22166317767
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Brazil,BRA,-1.3,1.1,2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,BRICs,BRC,4.73877467785,5.45700697305,5.62059960949
